[domain]	property	range
DigitalTwin:Cargo	DigitalTwin:Danegrous	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:cargoTarWeight	xsd:decimal
DigitalTwin:Cargo	DigitalTwin:natureofCargo	classifications:natureOfCargo
DigitalTwin:Cargo	DigitalTwin:cargoMinWeight	xsd:decimal
DigitalTwin:Cargo	DigitalTwin:cargoMaximumTemperature	xsd:string
DigitalTwin:Cargo	DigitalTwin:Excise	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:dryBulk	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:Waste	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:cargoMinimumSize	xsd:integer
DigitalTwin:Cargo	DigitalTwin:cargoMaximumVolume	xsd:integer
DigitalTwin:Cargo	DigitalTwin:isEmpty	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:cargoTemperature	xsd:string
DigitalTwin:Cargo	DigitalTwin:packagingType	classifications:packageType
DigitalTwin:Cargo	DigitalTwin:typeOfCargo	classifications:cargoType
DigitalTwin:Cargo	DigitalTwin:cargoMinimumTemperature	xsd:string
DigitalTwin:Cargo	DigitalTwin:NumberOfTEU	xsd:integer
DigitalTwin:Cargo	DigitalTwin:liquidBulk	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:cargoMaxSize	xsd:integer
DigitalTwin:Cargo	DigitalTwin:Reefer	xsd:boolean
DigitalTwin:Cargo	DigitalTwin:cargoMinimumVolume	xsd:integer
DigitalTwin:Container	DigitalTwin:equipmentContainerSize	xsd:string
DigitalTwin:Container	DigitalTwin:equipmentContainerITUCode	xsd:string
DigitalTwin:Container	DigitalTwin:equipmentContainerTareWeight	xsd:integer
DigitalTwin:Container	DigitalTwin:equipmentContainerType	xsd:string
DigitalTwin:DigitalTwin	DigitalTwin:classifications_detail	classifications:classifications
DigitalTwin:Equipment	DigitalTwin:isEmpty	xsd:boolean
DigitalTwin:Equipment	DigitalTwin:isFull	xsd:boolean
DigitalTwin:Iternerary	DigitalTwin:iteneraryDigitalTwin	DigitalTwin:DigitalTwin
DigitalTwin:Iternerary	DigitalTwin:iteneraryEvent	Event:Event
DigitalTwin:Iternerary	DigitalTwin:IterneraryPlace	PhysicalInfrastructure:logisticalFunction
DigitalTwin:Locomotive	DigitalTwin:locomotiveTypeNumber	xsd:string
DigitalTwin:Locomotive	DigitalTwin:locomotiveBrakeWeight	xsd:string
