,consignmentId,eventTransactionId,eventName,senderOrgName,originatorId,originatorName,carrierBookingNumber,eventType,sentFromInternal,subEvType,eventOccurrenceTime,vehicleId,voyageId,transportationPhase,terminal,terminalDescription,transportPlanIssuanceTime,transportPlanSequenceNumber,transportPlanTotalNumber,fullStatus,locationType,locationValue,locationDescription,status,consignmentCreationTime,consignmentUpdateTime,createdBy,dateTimeType,transportmeans,milestone
0,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,f7ed44a4-0ac1-42fc-820b-765bb2a70def,Planned gate out,Maersk,MAEU,Maersk Line,969626223,plannedGateOut,0,TransportEv,2019-09-22 06:00:00,,,Export,,,2019-09-17 23:25:09,1.0,4.0,Full,UN/Locode,MXMLT,"Martinez de La Torre, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,planned,,end
1,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,6bbb1c8b-26c4-47eb-99d6-8c5abb10ce72,Planned gate in,Maersk,MAEU,Maersk Line,969626223,plannedGateIn,0,TransportEv,2019-09-23 06:00:00,,,Export,,,2019-09-17 23:25:09,2.0,4.0,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,planned,,start
2,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,7a9087e9-b904-49c7-94b6-d2ac1727ddde,Planned vessel departure,Maersk,MAEU,Maersk Line,969626223,plannedVesselDeparture,0,TransportEv,2019-09-24 00:00:00,9225653,939E,Export,,,2019-09-17 23:25:09,3.0,4.0,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,planned,Vessel,end
3,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,8f9508dc-0a4f-430f-90c4-3e18409c81b8,Planned vessel arrival,Maersk,MAEU,Maersk Line,969626223,plannedVesselArrival,0,TransportEv,2019-10-14 22:00:00,9225653,939E,Import,,,2019-09-17 23:25:09,4.0,4.0,Full,UN/Locode,BEANR,"Antwerpen, BE",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,planned,Vessel,start
4,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,3bc54ecf-c111-43b0-9437-09d6df211e37,Actual gate out,Maersk,MAEU,Maersk Line,969626223,actualGateOut,0,TransportEv,2019-09-19 20:12:00,341524,,Export,,,2021-05-14 15:21:19,,,Empty,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,,end
5,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,dfb5ddfa-2547-4caf-a81d-b1a5f2e3e674,Actual gate in,Maersk,MAEU,Maersk Line,969626223,actualGateIn,0,TransportEv,2019-09-21 12:40:00,341524,,Export,,,2021-05-14 15:21:19,,,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,,start
6,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,bf0041d6-d65e-42d7-b7f0-ea90d0a7253d,Actual loaded on vessel,Maersk,MAEU,Maersk Line,969626223,actualLoadedOnVessel,0,TransportEv,2019-09-23 20:22:00,9225653,939E,Export,,,2021-05-14 15:21:19,,,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,Vessel,start
7,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,e1a93108-8ec8-4719-9638-2afb046f80f5,Actual vessel departure,Maersk,MAEU,Maersk Line,969626223,actualVesselDeparture,0,TransportEv,2019-09-23 15:31:00,9225653,939E,Export,,,2021-05-14 15:21:19,,,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,Vessel,end
8,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,2f1dc6f2-f2bf-4171-b8d9-ce006d94f00f,Actual vessel departure,Maersk,MAEU,Maersk Line,969626223,actualVesselDeparture,0,TransportEv,2019-09-23 23:30:00,9225653,939E,Export,,,2021-05-14 15:21:19,,,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,Vessel,end
9,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,dd754398-9cfb-4a55-bd12-af2ad792abce,Actual vessel departure,Maersk,MAEU,Maersk Line,969626223,actualVesselDeparture,0,TransportEv,2019-09-23 23:32:00,9225653,939E,Export,,,2021-05-14 15:21:19,,,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,Vessel,end
10,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,67e92cf5-04c2-421c-99bd-30540b9ecee5,Estimated vessel departure,Maersk,MAEU,Maersk Line,969626223,estimatedVesselDeparture,0,TransportEv,2019-09-24 00:00:00,9225653,939E,Export,,,2021-05-14 15:21:19,,,Full,UN/Locode,MXVER,"Veracruz, MX",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,estimated,Vessel,end
11,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,b5c051f5-2cdc-4795-b480-67c580ee50c2,Estimated vessel arrival,Maersk,MAEU,Maersk Line,969626223,estimatedVesselArrival,0,TransportEv,2019-10-14 16:00:00,9225653,939E,Import,,,2021-05-14 15:21:19,,,Full,UN/Locode,BEANR,"Antwerpen, BE",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,estimated,Vessel,start
12,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,94388f60-190a-4f20-8b77-60d41d5c5cb3,Estimated vessel arrival,Maersk,MAEU,Maersk Line,969626223,estimatedVesselArrival,0,TransportEv,2019-10-14 22:00:00,9225653,939E,Import,,,2021-05-14 15:21:19,,,Full,UN/Locode,BEANR,"Antwerpen, BE",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,estimated,Vessel,start
13,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,47c5c8b9-106b-4994-90f3-542a74bc6880,Estimated vessel arrival,Maersk,MAEU,Maersk Line,969626223,estimatedVesselArrival,0,TransportEv,2019-10-15 02:00:00,9225653,939E,Import,,,2021-05-14 15:21:19,,,Full,UN/Locode,BEANR,"Antwerpen, BE",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,estimated,Vessel,start
14,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,009700af-3343-421d-b7c4-5a175b4f9ec2,Actual discharge from vessel,Maersk,MAEU,Maersk Line,969626223,actualDischargeFromVessel,0,TransportEv,2019-10-15 09:34:00,9225653,939E,Import,BEANR-K1742,,2021-05-14 15:21:19,,,Full,UN/Locode,BEANR,"Antwerpen, BE",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,Vessel,end
15,a891b64d-d29f-4ef2-88ad-9ec4c88e0833,bd81e043-74cb-4a46-b1aa-e7232eeddda8,Actual vessel arrival,Maersk,MAEU,Maersk Line,969626223,actualVesselArrival,0,TransportEv,2019-10-15 02:31:00,9225653,939E,Import,,,2021-05-14 15:21:19,,,Full,UN/Locode,BEANR,"Antwerpen, BE",Active,2021-05-13 21:23:04,2019-09-17 23:32:06,Maersk,actual,Vessel,start
