subject	label	comment	supertype
skos:Concept  or skos:Collection			
businessService:Booking		Agreement with a limited validity period between two enterprises for one or more orders	businessService:BusinessTransaction
businessService:BusinessTransaction		All data shared by interactions for executing a business service	owl:Thing
businessService:Consignee	Consignee	A consignee is the role of an enterprise where it is the operator and/or owner of a logistical function at a place with the role 'place of delivery'. A consignee can act as customer (e.g. Terms of Delivery is 'ex works').	businessService:logisticsActor
businessService:Consignor	Consignor	A consignor is the role of an enterprise where it is the operator and/or owner of a logistical function at a place with the role 'place of acceptance'. A consignor can act as customer.	businessService:logisticsActor
businessService:Customer	Customer	Logisitcs Customer	businessService:logisticsActor
businessService:Driver	Driver	The person responsible for operating a transport means, hired or employee of the operator of that transport means -- Can be Mater, Driver, Captain, Pilot	businessService:logisticsActor
businessService:FrameworkContract	Framework Contract	A contract with a long term validity period between any two enterprise with agreements of business service delivery	businessService:BusinessTransaction
businessService:Operator	Operator	An enterprise exploiting a logistical function at a location	businessService:logisticsActor
businessService:Order	Order	Agreement between two enterprise for actual execution of a business service according a booking or framework contract.	businessService:BusinessTransaction
businessService:Organization	Organization		businessService:logisticsActor
businessService:Person	Person		businessService:logisticsActor
businessService:TransportService		A service provided by a logistics for transport of cargo	businessService:logisticsService
businessService:TransshipmentService	Transshipment Service	A service for transshipping cargo from one transport means to another	businessService:logisticsService
businessService:logisticsActor	Logistics Actor	The role of a Person is context dependant, and therefore should be described using the Actor class.	owl:Thing
businessService:logisticsService		Any service that is provided to a customer by a logistics or transport service provider.	owl:Thing
businessService:logisticsServiceGroupage	Groupage Service	A service for grouping of cargo into equipment	businessService:logisticsService
businessService:logisticsServiceProvider	Logistics Service Provider - LSP	The organization that provides the logistics service	businessService:logisticsActor
businessService:storageServiceCargo		A service for (temporary) storage of cargo. This may include special cargo storage such as cool storage, animal hotels, and dangerous goods storage.	businessService:logisticsService
businessService:storageServiceProduct		A service for storage of products (warehousing)	businessService:logisticsService
classifications:LogisticsServiceDocument	Logistics Service Document		classifications:classifications
classifications:cargoType		A classification of cargo carried, or intended  to be carried, on means of transport, based on its general  appearance.	classifications:classifications
classifications:classifications			owl:Thing
classifications:containerType			classifications:classifications
classifications:corridorName		Core network corridors" were introduced to facilitate the coordinated implementation of the core network in Europe.     Nine core network corridors are identified in the annex to the CEF Regulation, which includes a list of projects pre-identified for possible EU funding during the period 2014 – 2020, based on their added value for TEN-T development and their maturity status.	classifications:classifications
classifications:dangerouseGoodCode		Danger and Hazard classification, labeling and codification based on UN classifications -- https://www.unece.org/fileadmin/DAM/trans/danger/publi/ghs/ghs_rev07/English/05e_annex1.pdf  For the scope of proof of concept we selected only few example just to demonstrate the capability of the model.	classifications:classifications
classifications:natureOfCargo		This class classifies the codes or vocbualries that express the nature of cargo.	classifications:classifications
classifications:packageType		packaging Materials and components used in any  packaging operation to wrap, contain and protect articles  or substances during transport.  In also includes the shape or configuration of a package  as it appears for transport.	classifications:classifications
classifications:transportModality		The various modes used for a movement. For each mode, there are several means of transport. They are: a. inland surface transportation (rail, road, and inland waterway); b. sea transport (coastal and ocean); c. air transportation; and d. pipelines.   For the purpose of the usecase, we encode the top individulas only. Sea, Road, Air.	classifications:classifications
classifications:transportMovementType		This is to specify transport movement details for a goods item or equipment. For the purpose of this project ,we selected only few examples to demonstrate in the proof of concept -- the complete list can be found here:https://www.stylusstudio.com/edifact/D04B/8335.htm	classifications:classifications
DigitalTwin:Airplane	Airplane	Transport means by air.	DigitalTwin:TransportMeans
DigitalTwin:Barge	Barge	Vessel used for transporting cargo on inland waterways.	DigitalTwin:TransportMeans
DigitalTwin:BulkFeeder	Bulk Feeder	are common devices used to feed individual component parts for assembly on industrial production lines.	DigitalTwin:Feeder
